Ref,Val,Package,PosX,PosY,Rot,Side
"C128","0.47uF","C_0402_1005Metric",102.350000,-100.550000,-90.000000,bottom
"C129","1uF","C_0402_1005Metric",106.200000,-116.500000,-90.000000,bottom
"C149","4.7uF","C_0805_2012Metric",82.250000,-119.900000,-90.000000,bottom
"C150","4.7uF","C_0805_2012Metric",92.800000,-121.300000,-90.000000,bottom
"C153","0.47uF","C_0402_1005Metric",104.400000,-104.900000,180.000000,bottom
"C154","0.47uF","C_0402_1005Metric",104.450000,-103.950000,180.000000,bottom
"C155","0.47uF","C_0402_1005Metric",102.350000,-102.500000,-90.000000,bottom
"C156","0.47uF","C_0402_1005Metric",103.870000,-101.050000,0.000000,bottom
"C157","100uF","C_1210_3225Metric",95.850000,-111.600000,180.000000,bottom
"C158","100uF","C_1210_3225Metric",95.900000,-108.400000,180.000000,bottom
"C159","100uF","C_1210_3225Metric",112.150000,-95.600000,90.000000,bottom
"C160","100uF","C_1210_3225Metric",105.950000,-92.050000,90.000000,bottom
"C161","4.7uF","C_0805_2012Metric",96.450000,-97.100000,180.000000,bottom
"C162","4.7uF","C_0805_2012Metric",99.400000,-93.600000,90.000000,bottom
"C163","4.7uF","C_0805_2012Metric",95.950000,-102.600000,180.000000,bottom
"C164","4.7uF","C_0805_2012Metric",108.400000,-109.000000,-90.000000,bottom
"C165","0.47uF","C_0402_1005Metric",100.920000,-98.100000,0.000000,bottom
"C166","0.47uF","C_0402_1005Metric",102.800000,-99.050000,180.000000,bottom
"C167","0.47uF","C_0402_1005Metric",109.200000,-106.250000,-90.000000,bottom
"C168","0.47uF","C_0402_1005Metric",100.850000,-107.700000,0.000000,bottom
"C169","0.47uF","C_0402_1005Metric",101.850000,-97.050000,180.000000,bottom
"C170","0.47uF","C_0402_1005Metric",99.350000,-102.530000,90.000000,bottom
"C171","0.47uF","C_0402_1005Metric",100.850000,-101.050000,180.000000,bottom
"C172","0.47uF","C_0402_1005Metric",111.800000,-102.800000,0.000000,bottom
"C173","0.47uF","C_0402_1005Metric",109.820000,-103.250000,0.000000,bottom
"C174","0.47uF","C_0402_1005Metric",106.800000,-99.000000,0.000000,bottom
"C175","0.47uF","C_0402_1005Metric",108.350000,-98.550000,90.000000,bottom
"C176","0.47uF","C_0402_1005Metric",96.950000,-98.600000,180.000000,bottom
"C177","100uF","C_1210_3225Metric",102.850000,-92.050000,90.000000,bottom
"C178","4.7uF","C_0805_2012Metric",112.000000,-106.050000,0.000000,bottom
"C179","0.47uF","C_0402_1005Metric",104.850000,-97.050000,180.000000,bottom
"C180","0.47uF","C_0402_1005Metric",105.900000,-106.050000,0.000000,bottom
"C181","0.47uF","C_0402_1005Metric",103.900000,-108.050000,180.000000,bottom
"C182","0.47uF","C_0402_1005Metric",102.400000,-105.550000,90.000000,bottom
"C183","0.47uF","C_0402_1005Metric",101.850000,-104.000000,0.000000,bottom
"C184","0.47uF","C_0402_1005Metric",98.850000,-100.050000,180.000000,bottom
"D11","RED","LED_0402_1005Metric",95.300000,-116.800000,-90.000000,bottom
"IC5","AP2114H-3.3TRG1","SOT230P700X180-4N",117.550000,-88.150000,180.000000,bottom
"IC6","AP2114H-3.3TRG1","SOT230P700X180-4N",87.550000,-121.250000,0.000000,bottom
"IC8","S25FL216K0PMFI041","SOIC127P600X175-8N",111.800000,-114.200000,0.000000,bottom
"R31","51R","R_0402_1005Metric",119.000000,-104.200000,0.000000,bottom
"R32","0R","R_0402_1005Metric",119.000000,-103.250000,0.000000,bottom
"R33","20K","R_0402_1005Metric",132.400000,-101.050000,0.000000,bottom
"R34","10K","R_0402_1005Metric",131.650000,-96.050000,180.000000,bottom
"R35","5.62K","R_0402_1005Metric",122.050000,-109.100000,180.000000,bottom
"R36","4.7K","R_0402_1005Metric",136.800000,-106.150000,90.000000,bottom
"R37","4.7K","R_0402_1005Metric",135.850000,-106.150000,-90.000000,bottom
"R38","4.7K","R_0402_1005Metric",70.850000,-97.500000,90.000000,bottom
"R39","4.7K","R_0402_1005Metric",73.750000,-97.500000,-90.000000,bottom
"R40","5.62K","R_0402_1005Metric",84.550000,-93.850000,180.000000,bottom
"R41","10K","R_0402_1005Metric",75.750000,-108.450000,0.000000,bottom
"R42","20K","R_0402_1005Metric",76.250000,-101.500000,90.000000,bottom
"R47","51R","R_0402_1005Metric",88.850000,-98.500000,180.000000,bottom
"R48","0R","R_0402_1005Metric",88.850000,-99.450000,180.000000,bottom
"R64","4K7","R_0402_1005Metric",107.100000,-113.600000,180.000000,bottom
"R65","4K7","R_0402_1005Metric",116.450000,-114.850000,180.000000,bottom
"R68","100R","R_0402_1005Metric",94.200000,-116.800000,90.000000,bottom
"RD11","10K","R_0402_1005Metric",103.850000,-118.800000,180.000000,bottom
"RD14","0R","R_0402_1005Metric",103.850000,-110.400000,180.000000,bottom
"U1","CAT6219-125TDGT3","TSOT23-5_ONS",88.699999,-108.776350,90.000000,bottom
"U7","DSC6102HI2B-024.0000T","VFLGA4_1P6X1P2_ARA_MCH",117.150000,-104.800000,0.000000,bottom
"U8","DSC6102HI2B-024.0000T","VFLGA4_1P6X1P2_ARA_MCH",90.700000,-97.900000,180.000000,bottom
"X1","CWX823-100MHz","Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm",102.250000,-114.450000,90.000000,bottom
"Y2","32.768K","Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm",116.050000,-101.450000,90.000000,bottom
"Y3","32.768K","Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm",90.800000,-101.550000,-90.000000,bottom
"C1","4.7uF","C_0603_1608Metric",125.200000,-122.700000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",119.600000,-114.975000,90.000000,top
"C3","4.7uF","C_0603_1608Metric",122.100000,-114.950000,90.000000,top
"C4","4.7uF","C_0603_1608Metric",116.800000,-119.400000,180.000000,top
